2026-03-12 16:02:11.431 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1346 ms
2026-03-12 16:02:11.917 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 16:02:12.243 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-12 16:02:12.272 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-12 16:02:12.275 [main] INFO  com.example.ManagementApplication - Started ManagementApplication in 3.519 seconds (process running for 4.738)
2026-03-12 16:03:49.331 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-12 16:03:49.331 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-12 16:03:49.331 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-03-12 16:03:49.368 [http-nio-8080-exec-2] INFO  com.example.controller.EmpController - 查询所有员工
2026-03-12 16:03:49.399 [http-nio-8080-exec-1] INFO  com.example.controller.ClazzController - 查询请求参数：ClazzQueryParam(page=1, pageSize=10, name=, begin=null, end=null)
2026-03-12 16:03:49.403 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-12 16:03:49.633 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1092cc3a
2026-03-12 16:03:49.635 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-12 16:06:10.347 [http-nio-8080-exec-4] INFO  com.example.controller.StudentController - 查询请求参数：StuQueryParam(page=1, pageSize=10, name=, degree=null, clazzId=null)
2026-03-12 16:06:16.731 [http-nio-8080-exec-6] INFO  com.example.controller.ReportController - 统计员工性别
2026-03-12 16:06:16.731 [http-nio-8080-exec-5] INFO  com.example.controller.ReportController - 统计各个职位的员工人数
2026-03-12 16:06:20.985 [http-nio-8080-exec-7] INFO  com.example.controller.ReportController - 统计学生学历
2026-03-12 16:06:20.985 [http-nio-8080-exec-10] INFO  com.example.controller.ReportController - 统计各个班级人数
2026-03-12 16:06:28.608 [http-nio-8080-exec-2] INFO  com.example.controller.DeptController - 查询部门列表
2026-03-12 16:06:28.612 [http-nio-8080-exec-8] INFO  com.example.controller.EmpController - 查询请求参数： EmpQueryParam(page=1, pageSize=10, name=, gender=null, begin=null, end=null)
2026-03-12 16:10:51.035 [SpringApplicationShutdownHook] INFO  org.springframework.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-12 16:10:51.071 [tomcat-shutdown] INFO  org.springframework.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-12 16:10:51.086 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-12 16:10:51.122 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-12 16:10:59.396 [main] INFO  com.example.ManagementApplication - Starting ManagementApplication using Java 22.0.1 with PID 21264 (E:\java\java0\Management\target\classes\production\Management started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 16:10:59.400 [main] INFO  com.example.ManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-12 16:11:00.850 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-12 16:11:00.867 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-12 16:11:00.869 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-12 16:11:00.869 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.15]
